Dataset	Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH
Haemoglobin_g_dl__fasting_FOM1	Battram T	ARIES	-	09/04/2019	Fasting Haemoglobin	EFO_0004509	-	-	DNA methylation	Fasting Haemoglobin	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	675	1	-	48	-	675	675	-	-	-	-	-
Glucose_mmol_l__fasting_FOM1	Battram T	ARIES	-	09/04/2019	Fasting glucose	EFO_0004465	-	-	DNA methylation	Fasting glucose	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Cholesterol_mmol_l__fasting_FOM1	Battram T	ARIES	-	09/04/2019	Fasting cholesterol	EFO_0004574	-	-	DNA methylation	Fasting cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	678	1	-	48	-	678	678	-	-	-	-	-
HDL_cholesterol_mmol_l__fasting_FOM1	Battram T	ARIES	-	09/04/2019	High-density lipoprotein cholesterol	EFO_0004612	-	-	DNA methylation	High-density lipoprotein cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	677	1	-	48	-	677	677	-	-	-	-	-
LDL_cholesterol_mmol_l__fasting_FOM1	Battram T	ARIES	-	09/04/2019	Low-density lipoprotein cholesterol	EFO_0004611	-	-	DNA methylation	Low-density lipoprotein cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	678	1	-	48	-	678	678	-	-	-	-	-
Hip_cortical_ratio_calcar__FOM1	Battram T	ARIES	-	09/04/2019	Hip cortical ratio calcar	-	-	-	DNA methylation	Hip cortical ratio calcar	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-
Weight__kg___FOM1	Battram T	ARIES	-	09/04/2019	Weight	EFO_0004338	-	-	DNA methylation	Weight	Age and technical covariates	Beta values	kg	Illumina HumanMethylation450	Whole blood	-	701	1	-	48	-	701	701	-	-	-	-	-
DV__BMI__FOM1	Battram T	ARIES	-	09/04/2019	Body mass index	EFO_0004340	-	-	DNA methylation	Body mass index	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	701	1	-	48	-	701	701	-	-	-	-	-
DV__Waist_Circumference__mean__cm___FOM1	Battram T	ARIES	-	09/04/2019	Waist circumference	EFO_0004342	-	-	DNA methylation	Waist circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	704	1	-	48	-	704	704	-	-	-	-	-
DV__Hip_Circumference__mean__cm___FOM1	Battram T	ARIES	-	09/04/2019	Hip circumference	EFO_0005093	-	-	DNA methylation	Hip circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	702	1	-	48	-	702	702	-	-	-	-	-
Arm_Circumference__cm___FOM1	Battram T	ARIES	-	09/04/2019	Arm circumference	-	-	-	DNA methylation	Arm circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	704	1	-	48	-	704	704	-	-	-	-	-
Total_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total fat mass	-	-	-	DNA methylation	Total fat mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total lean mass	-	-	-	DNA methylation	Total lean mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Arm_Left_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm fat mass left	-	-	-	DNA methylation	Arm fat mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-
Arm_Right_Fat_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Arm fat mass right	-	-	-	DNA methylation	Arm fat mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Arms_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm fat mass both	-	-	-	DNA methylation	Arm fat mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-
Leg_Left_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg fat mass left	-	-	-	DNA methylation	Leg fat mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Left_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg lean mass left	-	-	-	DNA methylation	Leg lean mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Leg_Right_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mass right	-	-	-	DNA methylation	Leg bone mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Right_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg fat mass right	-	-	-	DNA methylation	Leg fat mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Legs_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg fat mass both	-	-	-	DNA methylation	Leg fat mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Left_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk fat mass left	-	-	-	DNA methylation	Trunk fat mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Right_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mass right	-	-	-	DNA methylation	Trunk bone mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Right_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk fat mass right	-	-	-	DNA methylation	Trunk fat mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Trunk_Right_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk lean mass right	-	-	-	DNA methylation	Trunk lean mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	680	1	-	48	-	680	680	-	-	-	-	-
Trunk_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mass	-	-	-	DNA methylation	Trunk bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Fat_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk fat mass	-	-	-	DNA methylation	Trunk fat mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Trunk_Lean_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk lean mass	-	-	-	DNA methylation	Trunk lean mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	680	1	-	48	-	680	680	-	-	-	-	-
Total_Left_Fat_Mass__g_____FOM1	Battram T	ARIES	-	09/04/2019	Total fat mass left	-	-	-	DNA methylation	Total fat mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Total_Left_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total lean mass left	-	-	-	DNA methylation	Total lean mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Total_Right_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total fat mass right	-	-	-	DNA methylation	Total fat mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Right_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total lean mass right	-	-	-	DNA methylation	Total lean mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Android_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Android bone mass	-	-	-	DNA methylation	Android bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Android_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Android fat mass	-	-	-	DNA methylation	Android fat mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Android_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Android lean mass	-	-	-	DNA methylation	Android lean mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
Gynoid_Fat_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Gynoid fat mass	-	-	-	DNA methylation	Gynoid fat mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Ribs_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Ribs bone mineral content	-	-	-	DNA methylation	Ribs bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Trunk_Left_BMC___g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mineral content left	-	-	-	DNA methylation	Trunk bone mineral content left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Right_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mineral content right	-	-	-	DNA methylation	Trunk bone mineral content right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Right_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Total area right	-	-	-	DNA methylation	Total area right	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Arms_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arms tissue mass	-	-	-	DNA methylation	Arms tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-
Arm_Right_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm tissue mass right	-	-	-	DNA methylation	Arm tissue mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Arm_Left_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm tissue mass left	-	-	-	DNA methylation	Arm tissue mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Legs_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg tissue mass both	-	-	-	DNA methylation	Leg tissue mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Leg_Right_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg tissue mass right	-	-	-	DNA methylation	Leg tissue mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Leg_Left_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg tissue mass left	-	-	-	DNA methylation	Leg tissue mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Trunk_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk tissue mass	-	-	-	DNA methylation	Trunk tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Trunk_Right_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk tissue mass right	-	-	-	DNA methylation	Trunk tissue mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Trunk_Left_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk tissue mass left	-	-	-	DNA methylation	Trunk tissue mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Android_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Android tissue mass	-	-	-	DNA methylation	Android tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Gynoid_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Gynoid tissue mass	-	-	-	DNA methylation	Gynoid tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Total_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total tissue mass	-	-	-	DNA methylation	Total tissue mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Total_Right_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total tissue mass right	-	-	-	DNA methylation	Total tissue mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Total_Left_Tissue_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total tissue mass left	-	-	-	DNA methylation	Total tissue mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Leg_Left_Fat_Free_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Leg fat free mass left	-	-	-	DNA methylation	Leg fat free mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Trunk_Fat_Free_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk fat free mass	-	-	-	DNA methylation	Trunk fat free mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	682	1	-	48	-	682	682	-	-	-	-	-
Trunk_Right_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk fat free mass right	-	-	-	DNA methylation	Trunk fat free mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	682	1	-	48	-	682	682	-	-	-	-	-
Android_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Android fat free mass	-	-	-	DNA methylation	Android fat free mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
Gynoid_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Gynoid fat free mass	-	-	-	DNA methylation	Gynoid fat free mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total fat free mass	-	-	-	DNA methylation	Total fat free mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Total_Right_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total fat free mass right	-	-	-	DNA methylation	Total fat free mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Total_Left_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total fat free mass left	-	-	-	DNA methylation	Total fat free mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Arms_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm total mass both	-	-	-	DNA methylation	Arm total mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-
Arm_Left_Total_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Arm total mass left	-	-	-	DNA methylation	Arm total mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Legs_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg total mass both	-	-	-	DNA methylation	Leg total mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Leg_Right_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg total mass right	-	-	-	DNA methylation	Leg total mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Left_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg total mass left	-	-	-	DNA methylation	Leg total mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Trunk_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk total mass	-	-	-	DNA methylation	Trunk total mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Trunk_Right_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk total mass right	-	-	-	DNA methylation	Trunk total mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Trunk_Left_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk total mass left	-	-	-	DNA methylation	Trunk total mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-
Android_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Android total mass	-	-	-	DNA methylation	Android total mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Gynoid_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Gynoid total mass	-	-	-	DNA methylation	Gynoid total mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Total_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total total mass	-	-	-	DNA methylation	Total total mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Total_Right_Total_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Total total mass right	-	-	-	DNA methylation	Total total mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Total_Left_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total total mass left	-	-	-	DNA methylation	Total total mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Hip_Troch_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip Troch bone mineral density	EFO_0007591	-	-	DNA methylation	Hip Troch bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Wards_area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip Wards area	-	-	-	DNA methylation	Hip Wards area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-
Hip_Shaft_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip shaft bone mineral density	EFO_0007591	-	-	DNA methylation	Hip shaft bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
Hip_Shaft_BMC__g____FOM1	Battram T	ARIES	-	09/04/2019	Hip shaft bone mineral content	EFO_0007621	-	-	DNA methylation	Hip shaft bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
Hip_Shaft_area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip shaft area	-	-	-	DNA methylation	Hip shaft area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
DV__Mean_systolic_blood_pressure___Right_arm__FOM1	Battram T	ARIES	-	09/04/2019	Systolic blood pressure right arm	EFO_0006335	-	-	DNA methylation	Systolic blood pressure right arm	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
DV__Mean_systolic_blood_pressure___Both_arms__FOM1	Battram T	ARIES	-	09/04/2019	Systolic blood pressure	EFO_0006335	-	-	DNA methylation	Systolic blood pressure	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	696	1	-	48	-	696	696	-	-	-	-	-
Free_cholesterol_in_medium_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in medium VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-
Triglycerides_in_medium_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in medium VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-
Concentration_of_small_VLDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of small VLDL particles	-	-	-	DNA methylation	Concentration of small VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Total_lipids_in_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in small VLDL	-	-	-	DNA methylation	Total lipids in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Total_cholesterol_in_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Cholesterol_esters_in_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Concentration_of_very_small_VLDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of very small VLDL particles	-	-	-	DNA methylation	Concentration of very small VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_lipids_in_very_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in very small VLDL	-	-	-	DNA methylation	Total lipids in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_medium_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in medium LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_medium_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in medium LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_small_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in small LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-
Total_cholesterol_in_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Remnant_cholesterol__non_HDL__non_LDL__cholesterol___mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Remnant cholesterol non-HDL or non-LDL cholesterol	-	-	-	DNA methylation	Remnant cholesterol non-HDL or non-LDL cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_cholesterol_in_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Serum_total_triglycerides__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides	EFO_0004530	-	-	DNA methylation	Triglycerides	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Triglycerides_in_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides in VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
Triglycerides_in_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	669	1	-	48	-	669	669	-	-	-	-	-
